date,title,detail_url,pdf_url,page_no,scraped_at
"Mar 11, 2026",Adjudication Order in the matter of Blue Coast Hotels Limited,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-the-matter-of-blue-coast-hotels-limited_100277.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773229057.pdf,2,2026-04-18T22:54:45.494647
"Mar 11, 2026",Adjudication Order in respect of Maa Mahamaya Rolling Mill Pvt. Ltd. in the matter of Illiquid Stock Options at BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-maa-mahamaya-rolling-mill-pvt-ltd-in-the-matter-of-illiquid-stock-options-at-bse_100275.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773226833.pdf,3,2026-04-18T22:54:56.545140
"Mar 11, 2026",Adjudication Order in the matter of IM+ Capital Limited,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-the-matter-of-im-capital-limited_100264.html,../../../web/?file=https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773209352.pdf,3,2026-04-18T22:55:04.086370
"Mar 11, 2026",Adjudication Order in respect of Amit Jain in the matter of Himalaya Granites Limited.,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-amit-jain-in-the-matter-of-himalaya-granites-limited-_100260.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773204577.pdf,3,2026-04-18T22:55:12.855159
"Mar 09, 2026",Adjudication Order in respect of Mrs. Rukmani Devi Poddar in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-mrs-rukmani-devi-poddar-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100204.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773050674.pdf,3,2026-04-18T22:55:22.924317
"Mar 09, 2026",Adjudication Order in respect of Anita Jhajharia in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-anita-jhajharia-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100199.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773047447.pdf,3,2026-04-18T22:55:33.382978
"Mar 09, 2026",Adjudication Order in respect of Anupama Agarwal in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-anupama-agarwal-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100197.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773044267.pdf,3,2026-04-18T22:55:42.041378
"Mar 09, 2026",Adjudication Order in respect of Ratan Kumar Sikaria HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-ratan-kumar-sikaria-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100201.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773048936.pdf,3,2026-04-18T22:55:50.447230
"Mar 09, 2026",Adjudication Order in respect of Akash in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-akash-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100190.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1773046384.pdf,3,2026-04-18T22:55:57.507138
"Mar 05, 2026",Adjudication Order in respect of Ravi Himmatramka and Sons HUF in the matter of dealings in Illiquid Stock Options on BSE,https://www.sebi.gov.in/enforcement/orders/mar-2026/adjudication-order-in-respect-of-ravi-himmatramka-and-sons-huf-in-the-matter-of-dealings-in-illiquid-stock-options-on-bse_100134.html,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/ORDER_1772708779.pdf,3,2026-04-18T22:56:05.444817
